pre,transition,vio,final
"(q23,instanceB-l3-instanceL,q24)","(q24,instanceL-h3-instanceH,q25)",[],False
"(q21,instanceH-l1-instanceL,q22)","(q22,instanceL-c0-instanceC,q8)",[],True
"(q19,instanceB-l3-instanceL,q20)","(q20,instanceL-h3-instanceH,q21)",[],False
"(q0,instanceD-l5-instanceL,q30)","(q30,instanceL-b4-instanceB,q31)",[],False
"(q0,instanceH-l5-instanceL,q16)","(q16,instanceL-h1-instanceH,q17)",[],False
"(q17,instanceH-l6-instanceL,q18)","(q18,instanceL-b3-instanceB,q19)",[],False
"(q17,instanceH-l6-instanceL,q18)","(q18,instanceL-b6-instanceB,q23)",[],False
