pre,transition,vio,final
"(q7,instanceE-d2-instanceD,q12)","(q12,instanceD-h4-instanceH,q13)",[],False
"(q17,instanceF-d4-instanceD,q18)","(q18,instanceD-c0-instanceC,q19)",[],False
"(q8,instanceB-d4-instanceD,q9)","(q9,instanceD-c0-instanceC,q10)",[],False
,"(q0,instanceD-e2-instanceE,q1)",[],False
,"(q0,instanceD-i5-instanceI,q16)",[],False
,"(q0,instanceD-e0-instanceE,q26)",[],False
"(q1,instanceE-d2-instanceD,q2)","(q2,instanceD-h4-instanceH,q3)",[],False
"(q22,instanceF-d1-instanceD,q23)","(q23,instanceD-c0-instanceC,q24)",[],False
